LOTE;Orden en el encadenado;LOTE parental;ID Bioreactor;Fecha/hora inicio;Fecha/hora fin;Volumen de inóculo utilizado;Turbidez inicio cultivo;Turbidez fin cultivo;Viabilidad final cultivo;ID Centrífuga;Centrifugación 1 turbidez;Centrifugación 2 turbidez;Producto 1;Producto 2
23019;1;NA;14615;21/03/2023 7:30;23/03/2023 6:30;82,4;17,3;91,2;1,84E+08;17825;NA;NA;1747,9;6
23020;1;NA;14616;21/03/2023 7:30;23/03/2023 6:30;80,4;18,8;91,2;1,82E+08;14246;NA;NA;1676,2;6,6
23021;1;NA;13170;22/03/2023 7:30;24/03/2023 6:30;66,4;16,2;86,4;2,48E+08;17825;NA;NA;1928,5;8,1
23022;1;NA;14614;22/03/2023 7:30;24/03/2023 6:30;85,6;18,5;83,2;2,30E+08;12912;NA;NA;1782,8;5,9
23023;1;NA;14615;28/03/2023 7:27;30/03/2023 10:00;77,6;17,1;74,4;1,33E+08;17825;26,6;20,9;1861,8;3
23024;1;NA;14616;28/03/2023 7:24;30/03/2023 7:23;76;16,6;80,8;1,99E+08;14246;24,6;10,4;2161,1;2,8
23025;1;NA;13170;29/03/2023 7:09;31/03/2023 7:29;77,2;17,8;87,2;1,99E+08;17825;30,6;29,4;2044,7;4,5
23026;1;NA;14614;29/03/2023 7:29;31/03/2023 7:38;78,8;18,2;81,2;2,06E+08;14246;26,5;11,6;2263,2;3,4
23027;1;NA;14615;04/04/2023 10:32;06/04/2023 12:30;83,2;16,9;68,1;1,95E+08;14246;26,2;9,8;1407,7;4,1
23028;1;NA;14616;04/04/2023 10:34;06/04/2023 12:32;83,6;18,6;67,2;1,76E+08;17825;27,3;12,2;1373,2;4,7
23029;1;NA;13170;18/04/2023 7:30;20/04/2023 7:30;80,6;17;85,6;2,62E+08;6379;27,8;13,4;2063,7;6,7
23030;1;NA;14614;18/04/2023 7:30;20/04/2023 7:30;81,4;19,4;76;1,79E+08;12912;28,7;12,6;2019,7;5,8
23031;1;NA;14615;18/04/2023 7:30;20/04/2023 7:30;82,2;18,6;84;9,76E+07;14246;29,5;NA;1816,1;6,2
23032;1;NA;14616;18/04/2023 7:30;20/04/2023 8:40;83;18,9;76;1,96E+08;17825;29,4;NA;1865,4;6,6
23033;1;NA;14616;25/04/2023 12:30;27/04/2023 13:30;82,4;17,8;72,5;2,27E+08;17825;29,1;16;1628,9;5,5
23034;1;NA;14615;25/04/2023 12:30;27/04/2023 13:30;83,2;16,3;69,1;1,97E+08;12912;24;16;1592;5,5
23035;1;NA;14614;25/04/2023 7:45;27/04/2023 10:30;85,9;17,8;59,5;2,07E+08;14246;25,2;15,1;1499,8;4,6
23036;1;NA;13170;22/05/2023 7:30;24/05/2023 9:35;82;16,4;65,9;1,42E+08;14246;25,8;12,9;1403,4;4,2
23038;1;NA;14615;23/05/2023 8:00;25/05/2023 10:45;83,6;15,3;67,9;1,46E+08;14246;23;13,5;1674,6;4,4
23039;1;NA;14616;23/05/2023 8:00;25/05/2023 10:15;80,4;17,8;67,2;1,22E+08;17825;28,5;13,8;1487,4;3,6
23040;1;NA;13169;30/05/2023 12:00;01/06/2023 12:00;77,6;15,9;83,2;1,90E+08;14246;27,4;NA;2129,9;8,2
23041;1;NA;14616;30/05/2023 7:20;01/06/2023 7:20;82,8;15,6;76,8;2,60E+08;17825;23,3;21,4;1873,7;7,3
23042;1;NA;14614;31/05/2023 6:55;02/06/2023 9:20;79,2;15,3;69;2,10E+08;17825;24,4;18,3;1609,8;6,4
23044;1;NA;14616;06/06/2023 9:20;08/06/2023 13:50;81,2;14,9;56,5;3,70E+08;17825;23,2;11,6;1240,7;5
23043;1;NA;14615;12/06/2023 8:00;14/06/2023 10:30;84;16,2;65;1,88E+08;14246;24,6;18,6;1427,9;4,5
23045;1;NA;13170;12/06/2023 8:00;14/06/2023 8:30;81,6;16,7;72,8;1,74E+08;17825;27,8;15,7;1613,8;6
23046;1;NA;14614;13/06/2023 8:00;15/06/2023 9:15;82,8;14,1;69,7;1,78E+08;14246;21,8;14,6;2061;8,7
23047;1;NA;14616;13/06/2023 8:00;15/06/2023 8:15;83,2;18,7;72,1;1,62E+08;17825;26,6;19,3;1697,6;6,9
23048;1;NA;14615;20/06/2023 7:15;22/06/2023 8:45;81,6;16;67;1,66E+08;14246;21,8;20;1393,1;5,6
23049;1;NA;14616;20/06/2023 7:15;22/06/2023 8:45;82,4;15;68,8;1,63E+08;17825;21,3;24,9;1766,5;7,5
23050;1;NA;14614;21/06/2023 8:00;23/06/2023 8:00;83,2;16,2;75,3;1,30E+08;17825;24,3;21,4;1755,1;6,8
23051;1;NA;13170;21/06/2023 8:00;23/06/2023 10:30;80;14,8;49,8;2,11E+08;14246;22,1;13,8;1225,8;5,7
23053;1;NA;14616;26/06/2023 8:00;28/06/2023 7:30;NA;16,6;72,6;1,68E+08;17825;24,5;14,6;1681,4;6,5
23054;1;NA;13170;27/06/2023 8:15;29/06/2023 8:15;NA;17;65,3;1,93E+08;14246;24,2;28,9;1683,1;7,8
23055;1;NA;14615;27/06/2023 8:15;29/06/2023 8:15;NA;17,1;81,6;1,69E+08;17825;26,6;23,8;1563;8,1
23056;1;NA;13170;03/07/2023 8:35;05/07/2023 8:30;84;18,7;81,6;2,06E+08;14246;29,4;23,4;1699,7;6,9
23057;1;NA;14614;03/07/2023 8:35;05/07/2023 9:15;84;27;73,2;1,74E+08;17825;27,1;21,2;1786,2;5,9
23060;1;NA;14615;04/07/2023 7:30;06/07/2023 8:30;82,4;15;71,8;1,41E+08;14246;23,8;20,2;1688,2;7,1
23061;1;NA;14616;04/07/2023 7:30;06/07/2023 8:30;82;17,8;73,4;1,46E+08;17825;25,8;21;1967,8;7,3
23063;1;NA;14615;10/07/2023 7:35;12/07/2023 11:35;83,2;17,6;68,3;1,14E+08;14246;25,5;15,8;1790,2;5,9
23064;1;NA;13170;11/07/2023 7:50;13/07/2023 7:55;80,8;16,5;81,6;1,18E+08;14246;27,1;26,6;1821,8;7,4
23065;1;NA;14616;11/07/2023 7:50;13/07/2023 9:25;81,2;18,9;74,9;1,50E+08;17825;27,7;20,2;1977,5;6,6
23067;1;NA;14615;17/07/2023 7:30;19/07/2023 9:45;84;18,1;60,7;1,54E+08;14246;23,6;16,9;1793,1;5,8
23068;1;NA;13170;18/07/2023 8:05;20/07/2023 7:55;82;16,4;73;1,58E+08;14246;24,2;22,6;1743,3;7
23069;1;NA;14616;18/07/2023 7:30;20/07/2023 8:00;82;17;63,6;1,54E+08;17825;23,7;18,4;1548,9;5,6
23070;1;NA;14615;24/07/2023 8:40;26/07/2023 8:40;80;17,5;62,7;9,12E+07;14246;25,7;15,4;1853,3;5,4
23071;1;NA;13170;25/07/2023 7:00;27/07/2023 7:50;82;18;77,2;1,74E+08;14246;28,2;26,8;2162,5;7,6
23072;1;NA;14616;25/07/2023 7:00;27/07/2023 8:00;80,8;16,6;69;1,38E+08;17825;24,4;22,7;1833;6,1
23073;1;NA;13169;31/07/2023 9:15;02/08/2023 10:00;82,4;17,8;71,5;1,60E+08;14246;30,2;26,4;1756,6;6,6
23075;1;NA;14616;31/07/2023 9:15;02/08/2023 10:15;82,8;17,8;70,6;1,49E+08;17825;30,8;20,6;1985,4;6,5
23076;1;NA;13170;01/08/2023 7:00;03/08/2023 7:25;84,2;17,9;77,2;1,76E+08;17825;30,9;26,4;1670,5;8,1
23077;1;NA;13170;04/09/2023 12:00;06/09/2023 12:00;78,4;26,2;71;1,58E+08;14246;30;20,7;2151,5;9,1
23078;1;NA;14614;04/09/2023 8:00;06/09/2023 9:30;80;18;73,2;1,47E+08;17825;31,8;20,8;1470,5;5,2
23079;1;NA;14615;05/09/2023 8:30;07/09/2023 9:00;82;18,6;84,8;1,46E+08;14246;31,8;31,7;2045,9;7,1
23080;1;NA;14616;05/09/2023 8:30;07/09/2023 8:30;80,8;18,8;83,2;1,30E+08;17825;22,6;22,8;1758,2;7,8
23081;1;NA;14615;13/09/2023 7:15;15/09/2023 10:00;82,8;18,2;49,4;1,04E+08;17825;29;15,4;1262,9;3,4
23082;1;NA;14616;13/09/2023 7:15;15/09/2023 13:00;82;16,3;67,7;1,55E+08;14246;30,2;21,1;1821;6,2
23083;1;NA;14617;12/09/2023 8:00;14/09/2023 8:25;82,8;17;54,2;7,04E+07;17825;142,4;157;1640,6;5,5
23084;1;NA;13169;12/09/2023 8:00;14/09/2023 10:00;81,6;17,4;83,2;1,40E+08;14246;168,8;151,8;2133;7,8
23085;1;NA;13170;25/09/2023 8:15;27/09/2023 9:45;84;16,3;64,8;1,58E+08;14246;28,7;17,7;1662,9;4,5
